feature_name
LOG_time_read_loop3_std
LOG_disk_byte_written_sda3_std
LOG_writes_merg_sda3_std
LOG_sect_read_sda3_std
LOG_sect_written_sda3_std
LOG_time_ios_sda_std
LOG_weighted_time_sda_std
LOG_ios_in_progress_sda_max
LOG_time_write_sda_std
LOG_disk_byte_read_sda3_std
LOG_compact_daemon_wake_max
LOG_workingset_activate_file_min
LOG_time_read_loop2_std
LOG_reads_merg_sda1_min
LOG_compact_success_mean
LOG_sect_read_loop2_std
LOG_kswapd_high_wmark_hit_quickly_min
LOG_workingset_nodes_mean
LOG_workingset_activate_file_mean
LOG_ios_in_progress_sda_min
LOG_numa_miss_max
LOG_slabs_scanned_max
LOG_disk_byte_read_sda_std
LOG_workingset_nodes_max
LOG_workingset_refault_file_min
LOG_pgsteal_direct_mean
LOG_unevictable_pgs_mlocked_max
LOG_kswapd_low_wmark_hit_quickly_max
LOG_slabs_scanned_mean
LOG_time_ios_loop4_std
LOG_writes_comp_sda_std
LOG_nr_unevictable_min
LOG_disk_byte_read_sda2_min
LOG_numa_foreign_max
LOG_sect_read_loop6_min
LOG_sect_read_loop5_max
LOG_unevictable_pgs_stranded_min
LOG_reads_comp_loop5_min
LOG_sect_read_sda_std
LOG_reads_comp_loop6_mean
LOG_rx_bytes_eth0_max
LOG_reads_comp_loop6_max
LOG_workingset_refault_file_mean
LOG_reads_comp_loop3_mean
LOG_allocstall_normal_min
LOG_tx_bytes_eth0_max
LOG_AnonHugePages_max
LOG_workingset_nodereclaim_min
LOG_rx_bytes_eth0_std
LOG_reads_comp_loop6_min
LOG_unevictable_pgs_culled_mean
LOG_tx_bytes_eth0_mean
LOG_reads_comp_sda4_max
LOG_tx_bytes_eth0_std
LOG_rx_packets_eth0_min
LOG_rx_packets_eth0_max
LOG_disk_byte_read_loop5_mean
LOG_compact_isolated_min
LOG_reads_comp_loop5_max
LOG_time_ios_sda2_min
LOG_rx_packets_eth0_std
LOG_compact_fail_max
LOG_rx_packets_eth0_mean
LOG_unevictable_pgs_culled_std
LOG_time_ios_loop6_mean
LOG_disk_byte_read_sda4_mean
LOG_nr_isolated_anon_std
LOG_rx_bytes_eth0_mean
LOG_nr_mlock_std
LOG_reads_comp_loop4_std
LOG_tx_packets_eth0_mean
LOG_time_ios_loop0_mean
LOG_tx_bytes_eth0_min
LOG_tx_packets_eth0_max
LOG_tx_packets_eth0_std
LOG_tx_packets_eth0_min
LOG_weighted_time_loop3_mean
LOG_ios_in_progress_sda_mean
LOG_disk_byte_read_loop6_mean
LOG_allocstall_movable_mean
LOG_reads_comp_sda2_max
LOG_disk_byte_read_sda1_max
LOG_rx_bytes_eth0_min
LOG_disk_byte_read_loop5_max
LOG_compact_free_scanned_std
LOG_disk_byte_read_sda4_min
LOG_unevictable_pgs_culled_min
LOG_time_read_loop0_min
LOG_time_read_loop0_mean
LOG_time_read_loop5_min
LOG_weighted_time_loop1_max
LOG_sect_read_sda_max
PAPI_PAPI_BR_NTK_min
LOG_weighted_time_sda4_max
